epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.771,1.83006,5.34733,0.50627,2.10584,1.97075,0.40218,0.51893,0.3519,0.17446,0.16622,0.23543,0.07742,0.01639,1.72446,5.15417,0.11663,2.19034,2.13499,0.000475487,0.000475487,0.000475487
2,1223.28,1.73461,4.91784,0.44243,1.69745,1.89948,0.42153,0.51055,0.38389,0.1923,0.18913,0.23264,0.09098,0.02039,1.7676,5.04492,0.0722,1.77181,2.19725,0.000932975,0.000932975,0.000932975
3,1825.48,1.61967,4.69588,0.41771,1.5245,1.81666,0.49438,0.62131,0.47244,0.27486,0.22209,0.29369,0.11584,0.02824,1.50443,4.87726,0.09486,1.57452,1.9927,0.0013716,0.0013716,0.0013716
4,2426.37,1.53524,4.5228,0.40111,1.40453,1.74841,0.49677,0.58747,0.45519,0.25392,0.23768,0.33913,0.12109,0.02979,1.55972,4.79023,0.04411,1.68447,2.04259,0.00134412,0.00134412,0.00134412
5,3026.45,1.46232,4.35939,0.39598,1.31098,1.68816,0.5279,0.64577,0.4956,0.30904,0.25586,0.35463,0.13792,0.04098,1.42362,4.70889,0.07215,1.34906,1.90886,0.00131582,0.00131582,0.00131582
6,3627.32,1.40233,4.26518,0.38842,1.22898,1.64059,0.52532,0.6684,0.52358,0.34445,0.25492,0.36731,0.14243,0.03729,1.27985,4.77725,0.05947,1.30373,1.78623,0.00128753,0.00128753,0.00128753
7,4228.84,1.36322,4.16629,0.38017,1.19766,1.611,0.50911,0.70429,0.53031,0.34932,0.25625,0.35614,0.14719,0.04851,1.25969,4.54297,0.03286,1.25361,1.7729,0.00125923,0.00125923,0.00125923
8,4829.6,1.32157,4.09379,0.37724,1.14568,1.57213,0.53975,0.71057,0.54611,0.3718,0.2835,0.37429,0.16988,0.05287,1.19066,4.51007,0.04595,1.24803,1.71169,0.00123094,0.00123094,0.00123094
9,5430.67,1.28374,4.02382,0.36821,1.11502,1.55044,0.55782,0.72907,0.55654,0.38929,0.26749,0.40472,0.17506,0.05498,1.1512,4.52659,0.03641,1.19929,1.65905,0.00120265,0.00120265,0.00120265
10,6032.11,1.25862,3.97272,0.36455,1.0852,1.52924,0.52109,0.7624,0.56076,0.39473,0.27812,0.42118,0.1789,0.05803,1.13035,4.44508,0.03437,1.19207,1.64497,0.00117435,0.00117435,0.00117435
11,6633.89,1.24309,3.89186,0.3705,1.0768,1.52233,0.53931,0.7641,0.56693,0.40448,0.29501,0.43492,0.19605,0.06719,1.09026,4.36827,0.05325,1.13881,1.61576,0.00114606,0.00114606,0.00114606
12,7234.79,1.22215,3.88531,0.36111,1.05739,1.50644,0.56579,0.73913,0.57866,0.41691,0.30836,0.40177,0.19271,0.0666,1.09601,4.31557,0.02781,1.11237,1.61305,0.00111776,0.00111776,0.00111776
13,7836.2,1.20039,3.77499,0.36205,1.02477,1.48275,0.52999,0.78265,0.57373,0.41685,0.29916,0.45212,0.20652,0.07595,1.06567,4.26687,0.04116,1.15408,1.58689,0.00108947,0.00108947,0.00108947
14,8436.24,1.18004,3.74302,0.35941,1.01134,1.47022,0.54645,0.75203,0.58418,0.42102,0.30709,0.4274,0.20036,0.0724,1.07044,4.21991,0.04394,1.10904,1.59925,0.00106118,0.00106118,0.00106118
15,9035.77,1.17249,3.692,0.359,1.00655,1.45997,0.56206,0.76775,0.59527,0.43151,0.32187,0.43472,0.20547,0.08643,1.03807,4.16648,0.02349,1.10861,1.55795,0.00103288,0.00103288,0.00103288
16,9635.08,1.15064,3.66323,0.35463,0.98098,1.43728,0.5585,0.7466,0.57788,0.42101,0.30846,0.4269,0.19764,0.08647,1.03136,4.15968,0.03571,1.08001,1.54651,0.00100459,0.00100459,0.00100459
17,10235.1,1.13561,3.56498,0.3509,0.97546,1.43361,0.55845,0.7615,0.59328,0.43225,0.31659,0.4445,0.20505,0.09436,1.02681,4.00164,0.02459,1.11999,1.55401,0.000976293,0.000976293,0.000976293
18,10835.3,1.12345,3.45739,0.35302,0.96063,1.42934,0.52359,0.75492,0.56949,0.42847,0.29429,0.41632,0.19955,0.09199,0.98213,4.00671,0.05209,1.07336,1.51263,0.000947999,0.000947999,0.000947999
19,11434.7,1.11718,3.48394,0.34787,0.96125,1.42571,0.56752,0.7748,0.61341,0.45509,0.37679,0.48715,0.27024,0.1148,0.9832,3.88724,0.02636,1.06155,1.51333,0.000919704,0.000919704,0.000919704
20,12035,1.10499,3.44974,0.34655,0.93324,1.40987,0.54428,0.78135,0.59238,0.44182,0.31833,0.46672,0.21621,0.1125,0.99017,3.88404,0.02919,1.05223,1.51791,0.00089141,0.00089141,0.00089141
21,12635.2,1.08234,3.35153,0.3435,0.92675,1.39479,0.55001,0.79101,0.57869,0.43648,0.33674,0.46254,0.23157,0.12439,0.96913,3.84048,0.02407,1.04863,1.49456,0.000863116,0.000863116,0.000863116
22,13234.9,1.07957,3.3378,0.34036,0.9191,1.39078,0.55147,0.78688,0.58368,0.4421,0.33809,0.51349,0.24685,0.13748,0.96363,3.72763,0.02906,1.06249,1.493,0.000834822,0.000834822,0.000834822
23,13835.8,1.06242,3.21733,0.34281,0.91367,1.37879,0.55558,0.77777,0.57555,0.43539,0.35871,0.50213,0.25593,0.13757,0.94581,3.63989,0.02994,1.03167,1.47515,0.000806528,0.000806528,0.000806528
24,14435.8,1.05202,3.23607,0.33871,0.89979,1.37224,0.55119,0.80027,0.60485,0.45691,0.35187,0.50246,0.24802,0.13402,0.94554,3.60077,0.03253,1.03971,1.47499,0.000778233,0.000778233,0.000778233
25,15035.2,1.04493,3.1509,0.34254,0.89766,1.37222,0.53516,0.80429,0.57939,0.44167,0.36033,0.5131,0.2762,0.15169,0.93083,3.52725,0.03231,1.03209,1.45889,0.000749939,0.000749939,0.000749939
26,15634.5,1.0355,3.1261,0.33951,0.89475,1.36274,0.57155,0.78561,0.59745,0.45678,0.37892,0.51606,0.26469,0.1466,0.90921,3.51135,0.02294,1.03313,1.44026,0.000721645,0.000721645,0.000721645
27,16233.5,1.02586,3.0514,0.33292,0.87612,1.35536,0.57155,0.78278,0.59881,0.45923,0.37074,0.50964,0.27433,0.15482,0.90514,3.43282,0.01947,1.02665,1.42986,0.000693351,0.000693351,0.000693351
28,16833.9,1.01362,3.03782,0.33349,0.87153,1.34298,0.57661,0.79131,0.61612,0.47562,0.36068,0.55719,0.2942,0.1699,0.89884,3.34596,0.02533,1.01055,1.43324,0.000665057,0.000665057,0.000665057
29,17434.3,1.00273,3.00257,0.32684,0.86692,1.33707,0.56198,0.82336,0.61113,0.46737,0.38818,0.54523,0.28714,0.16065,0.90436,3.37421,0.0244,1.0009,1.42928,0.000636762,0.000636762,0.000636762
30,18033.1,0.99666,2.95788,0.32858,0.8586,1.33298,0.5653,0.7883,0.59769,0.46472,0.38837,0.54911,0.3058,0.17834,0.87537,3.33766,0.02265,1.02389,1.41014,0.000608468,0.000608468,0.000608468
31,18631.4,0.98695,2.88332,0.32876,0.84236,1.32775,0.56931,0.80435,0.62038,0.48675,0.39011,0.55018,0.30602,0.18367,0.87912,3.30354,0.02559,1.00521,1.41112,0.000580174,0.000580174,0.000580174
32,19231.8,0.9814,2.8673,0.32615,0.84241,1.32256,0.5705,0.79549,0.6075,0.4762,0.3994,0.54766,0.3143,0.1924,0.88118,3.20351,0.01887,1.01653,1.41478,0.00055188,0.00055188,0.00055188
33,19830.9,0.96672,2.79807,0.32482,0.83552,1.31279,0.57202,0.81732,0.62232,0.49048,0.38978,0.54443,0.30568,0.19298,0.85936,3.21207,0.02348,0.99157,1.39553,0.000523586,0.000523586,0.000523586
34,20431,0.9623,2.79626,0.32456,0.83365,1.30818,0.5765,0.7854,0.60133,0.46847,0.39689,0.55194,0.31199,0.19147,0.87096,3.19815,0.02183,0.98227,1.40201,0.000495291,0.000495291,0.000495291
35,21031.2,0.95814,2.76351,0.32272,0.82478,1.30807,0.55911,0.82854,0.62767,0.49207,0.39658,0.57315,0.3216,0.20132,0.85826,3.1718,0.01929,0.99313,1.38907,0.000466997,0.000466997,0.000466997
36,21632.3,0.95493,2.72276,0.31637,0.82275,1.29826,0.55139,0.82326,0.60912,0.47893,0.39351,0.57541,0.32791,0.20557,0.84776,3.08188,0.02619,0.97384,1.38429,0.000438703,0.000438703,0.000438703
37,22232.7,0.94072,2.66974,0.31316,0.81049,1.29378,0.56774,0.82874,0.62194,0.49133,0.39593,0.56426,0.32931,0.21634,0.83718,3.09279,0.0225,0.98131,1.36899,0.000410409,0.000410409,0.000410409
38,22833.8,0.92638,2.64661,0.31825,0.80167,1.28577,0.57276,0.81652,0.62098,0.49355,0.41052,0.56922,0.33737,0.21831,0.83193,3.03985,0.02148,0.98044,1.36465,0.000382115,0.000382115,0.000382115
39,23433.9,0.92526,2.56482,0.312,0.79281,1.28074,0.55091,0.84381,0.61756,0.48664,0.41257,0.54916,0.33081,0.21453,0.8304,2.98857,0.01903,0.9727,1.36726,0.00035382,0.00035382,0.00035382
40,24032.8,0.91934,2.57391,0.31237,0.79285,1.27952,0.55988,0.82758,0.61435,0.48516,0.42578,0.57411,0.34162,0.22137,0.82896,2.97901,0.02031,0.97605,1.36927,0.000325526,0.000325526,0.000325526
41,24634.2,0.80413,2.72872,0.13362,0.65898,1.28736,0.56974,0.82415,0.62466,0.50128,0.41197,0.5803,0.35869,0.23857,0.81925,2.95089,0.01603,0.98543,1.3568,0.000297232,0.000297232,0.000297232
42,25235,0.78535,2.62816,0.12828,0.64777,1.26883,0.56178,0.81925,0.62703,0.50307,0.417,0.56779,0.34438,0.23384,0.82175,2.92551,0.0117,0.97342,1.3537,0.000268938,0.000268938,0.000268938
43,25834.7,0.77514,2.57017,0.12722,0.63929,1.26172,0.56058,0.83629,0.62354,0.50115,0.41727,0.57456,0.35624,0.23993,0.80991,2.92415,0.01113,0.97951,1.34654,0.000240644,0.000240644,0.000240644
